sales_id,shop_id,week_no,start_date,end_date,sales_amount,sales_target,item_sold,transactions,staff_hours,staff_hours_target,labour_cost,labour_cost_target,total_tax,sales_status
76286,28,25,2014-06-09,2014-06-15,13857.40,17000.00,2260.00,1295,00:00:00,00:12:00,0,3100.00,1740.09,1
76288,30,25,2014-06-09,2014-06-15,24506.60,30000.00,3897.00,2049,00:00:00,00:12:00,0,5200.00,3127.34,1
76290,31,25,2014-06-09,2014-06-15,19156.51,24000.00,3189.00,1577,00:00:00,00:12:00,0,4200.00,2403.26,1
82334,17,26,2014-06-16,2014-06-22,14525.60,105000.00,2677.00,1542,119:02:09,00:00:00,1710,19600.00,1804.34,1
82336,20,26,2014-06-16,2014-06-22,23918.30,175000.00,4200.00,2213,00:00:00,00:21:00,0,31500.00,3035.37,1
82338,27,26,2014-06-16,2014-06-22,30380.60,28000.00,4838.00,2337,00:00:00,00:00:00,0,4100.00,3836.91,1
82340,28,26,2014-06-16,2014-06-22,15745.30,17000.00,2519.00,1440,00:00:00,00:14:00,0,3100.00,1970.83,1
82342,30,26,2014-06-16,2014-06-22,28497.10,30000.00,4473.00,2348,00:00:00,00:14:00,0,5200.00,3649.53,1
82344,31,26,2014-06-16,2014-06-22,22912.50,24000.00,3751.00,1821,00:00:00,00:14:00,0,4200.00,2862.51,1
88388,17,27,2014-06-23,2014-06-29,14272.80,105000.00,2618.00,1474,66:57:09,00:00:00,966,19600.00,1783.32,1
88390,20,27,2014-06-23,2014-06-29,23214.10,175000.00,4120.00,2199,00:00:00,00:21:00,0,31500.00,2938.98,1
88392,27,27,2014-06-23,2014-06-29,29448.10,28000.00,4553.00,2215,00:00:00,00:00:00,0,4100.00,3706.49,1
88394,28,27,2014-06-23,2014-06-29,16518.80,17000.00,2570.00,1441,00:00:00,00:14:00,0,3100.00,2071.71,1
88396,30,27,2014-06-23,2014-06-29,27744.20,30000.00,4349.00,2276,00:00:00,00:14:00,0,5200.00,3539.32,1
88398,31,27,2014-06-23,2014-06-29,21879.70,24000.00,3605.00,1754,00:00:00,00:14:00,0,4200.00,2736.65,1
